表1-2-10 高級中等學校畢業生就業情況—按群別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,,,外語群,294,14, -, -, -, -, -, -,1, -,4, -, -, -, -, -,6, -, -,2,1,100.00,4.76, -, -, -, -, -, -,0.34, -,1.36, -, -, -, -, -,2.04, -, -,0.68,0.34,
,,,設計群,390,14,1, -,2, -, -, -,3, -, -, -, -, -, -, -,3, -,1,4, -,100.00,3.59,0.26, -,0.51, -, -, -,0.77, -, -, -, -, -, -, -,0.77, -,0.26,1.03, -,
,,,農業群,95,10,2, -, -, -, -, -,1, -, -, -, -, -,1, -,3, -, -, -,3,100.00,10.53,2.11, -, -, -, -, -,1.05, -, -, -, -, -,1.05, -,3.16, -, -, -,3.16,
,,,食品群,279,24, -, -,2, -, -, -, -, -,4, -, -, -,1,2,6, -, -,2,7,100.00,8.60, -, -,0.72, -, -, -, -, -,1.43, -, -, -,0.36,0.72,2.15, -, -,0.72,2.51,
,,,家政群,108,14, -, -, -, -, -, -, -, -,1, -, -, -, -, -,1, -, -,1,11,100.00,12.96, -, -, -, -, -, -, -, -,0.93, -, -, -, -, -,0.93, -, -,0.93,10.19,
,,,餐旅群,566,74,1,1, -,2, -,1,6, -,29, -, -, -,1,1,11, -, -,6,15,100.00,13.07,0.18,0.18, -,0.35, -,0.18,1.06, -,5.12, -, -, -,0.18,0.18,1.94, -, -,1.06,2.65,
,,,水產群,28,12, -, -, -, -, -, -, -, -, -, -, -, -, -, -,11, -, -, -,1,100.00,42.86, -, -, -, -, -, -, -, -, -, -, -, -, -, -,39.29, -, -, -,3.57,
,,,海事群,19,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,100.00,5.26, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,5.26,
,,,藝術群,9,2, -, -, -, -, -, -, -, -,1, -, -, -, -, -,1, -, -, -, -,100.00,22.22, -, -, -, -, -, -, -, -,11.11, -, -, -, -, -,11.11, -, -, -, -,
,,,綜合,11, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,100.00, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,實用技能學程,,,"3,480","1,053",64,25,186,27,1,32,74,39,221,12,4,1,83,27,82,4,11,33,127,100.00,30.26,1.84,0.72,5.34,0.78,0.03,0.92,2.13,1.12,6.35,0.34,0.11,0.03,2.39,0.78,2.36,0.11,0.32,0.95,3.65,
,,,機械群,437,138,8,1,44,2, -,2,13,1,17,1, -, -,11,14,16, -, -,2,6,100.00,31.58,1.83,0.23,10.07,0.46, -,0.46,2.97,0.23,3.89,0.23, -, -,2.52,3.20,3.66, -, -,0.46,1.37,
,,,動力機械群,167,75,1,1,10,2, -,3,4,7,7,2, -, -,14,5,11, -, -, -,8,100.00,44.91,0.60,0.60,5.99,1.20, -,1.80,2.40,4.19,4.19,1.20, -, -,8.38,2.99,6.59, -, -, -,4.79,
